posicion_focal,n_kept_comp,n_kept_rival1,n_kept_rival2,prob_grande,prob_chica,prob_pares,prob_juego,n_manos
4,2,1,1,0.004137373737373737,0.9142151515151514,0.5812656565656565,0.5047636363636364,330
4,2,1,2,0.0040848484848484854,0.9140212121212121,0.5815474747474747,0.5054939393939394,330
4,2,1,3,0.004094949494949495,0.9140151515151516,0.5817767676767677,0.5052373737373738,330
4,2,1,4,0.004125252525252525,0.9140090909090909,0.5812020202020203,0.5048777777777778,330
4,2,2,1,0.004125252525252526,0.9140979797979798,0.5819757575757576,0.5050646464646464,330
4,2,2,2,0.004180808080808081,0.9143565656565656,0.5819717171717171,0.5063181818181819,330
4,2,2,3,0.0041090909090909095,0.9138181818181819,0.5820565656565656,0.5058949494949495,330
4,2,2,4,0.004116161616161617,0.9142525252525252,0.5820030303030304,0.5060171717171718,330
4,2,3,1,0.004091919191919192,0.9140070707070708,0.5812373737373737,0.5042626262626263,330
4,2,3,2,0.004113131313131313,0.9137323232323231,0.5818323232323233,0.504840404040404,330
4,2,3,3,0.004078787878787879,0.9136292929292928,0.5813393939393939,0.504829292929293,330
4,2,3,4,0.0040737373737373735,0.9136272727272727,0.5822858585858586,0.5058121212121213,330
4,2,4,1,0.00408989898989899,0.9141282828282828,0.5813272727272727,0.5054424242424242,330
4,2,4,2,0.004061616161616162,0.9141969696969697,0.582220202020202,0.5042080808080808,330
4,2,4,3,0.0040010101010101015,0.9144424242424243,0.5817030303030303,0.5052848484848484,330
4,2,4,4,0.004104040404040404,0.9140171717171718,0.5820525252525253,0.5047989898989899,330
4,3,1,1,0.004085858585858586,0.91410101010101,0.5812353535353536,0.5052242424242424,330
4,3,1,2,0.004102020202020201,0.9143282828282829,0.5820121212121212,0.505940404040404,330
4,3,1,3,0.004111111111111111,0.9139838383838383,0.5815676767676768,0.5050040404040403,330
4,3,1,4,0.004023232323232323,0.9144050505050505,0.5812767676767677,0.5042848484848484,330
4,3,2,1,0.004064646464646464,0.9140636363636364,0.5819858585858586,0.505520202020202,330
4,3,2,2,0.0041,0.91409898989899,0.5824424242424242,0.5052030303030304,330
4,3,2,3,0.004068686868686869,0.9145656565656566,0.5817181818181819,0.5048494949494949,330
4,3,2,4,0.00405959595959596,0.9142080808080808,0.5818141414141415,0.5051939393939394,330
4,3,3,1,0.004138383838383838,0.9142868686868687,0.5818323232323233,0.505430303030303,330
4,3,3,2,0.004094949494949495,0.9140666666666667,0.5813545454545455,0.5054666666666666,330
4,3,3,3,0.004171717171717172,0.9137898989898989,0.582239393939394,0.5056545454545455,330
4,3,3,4,0.004118181818181818,0.9139121212121213,0.5822181818181819,0.5057383838383839,330
4,3,4,1,0.0040515151515151514,0.914030303030303,0.5818626262626263,0.5045101010101011,330
4,3,4,2,0.004114141414141414,0.9143252525252524,0.5810545454545454,0.505220202020202,330
4,3,4,3,0.004090909090909091,0.914279797979798,0.5818444444444445,0.5045808080808081,330
4,3,4,4,0.004087878787878788,0.9134959595959596,0.5815424242424242,0.5059565656565657,330
4,4,1,1,0.004115151515151515,0.9144343434343434,0.5814191919191919,0.5054656565656566,330
4,4,1,2,0.004067676767676768,0.9138353535353536,0.5817555555555556,0.5046070707070707,330
4,4,1,3,0.004031313131313131,0.9139383838383839,0.5816595959595959,0.5051313131313131,330
4,4,1,4,0.004128282828282828,0.9142070707070707,0.5818121212121212,0.5050979797979798,330
4,4,2,1,0.004083838383838384,0.9140737373737374,0.5816353535353534,0.5054919191919192,330
4,4,2,2,0.004087878787878788,0.9143151515151515,0.582230303030303,0.5057525252525252,330
4,4,2,3,0.004070707070707071,0.9137515151515152,0.5812111111111111,0.5046090909090909,330
4,4,2,4,0.0040383838383838385,0.9144444444444444,0.5814626262626262,0.5057686868686869,330
4,4,3,1,0.00407979797979798,0.9139545454545455,0.5819525252525253,0.5055424242424242,330
4,4,3,2,0.0041222222222222216,0.9142808080808081,0.5815717171717172,0.5053232323232323,330
4,4,3,3,0.00408989898989899,0.9135666666666666,0.5821080808080807,0.5053696969696969,330
4,4,3,4,0.004091919191919192,0.9140292929292929,0.5819585858585858,0.5052969696969697,330
4,4,4,1,0.00407979797979798,0.9137424242424244,0.581249494949495,0.5052646464646465,330
4,4,4,2,0.00411010101010101,0.9142585858585859,0.5825777777777777,0.5060242424242424,330
4,4,4,3,0.004068686868686869,0.9143050505050505,0.5817575757575757,0.5049646464646464,330
4,4,4,4,0.004117171717171717,0.9139818181818181,0.5827404040404041,0.5049101010101009,330
