mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,valor_punto,W_pares,W_juego,W_punto,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[4, 6, 7, 7]","[4,6,7,7]",0.0047,0.0644,True,False,pares,0,24,1,0.0,1.0,2.287470090723815,2.255033797287522,2.255033797287522,2.2225975038512282,0.06487258687258679,0.03243629343629317
"[4, 5, 6, 12]","[4,5,6,12]",0.2104,0.0882,False,False,sin_pares,0,25,0,0.0,1.0,2.2860865156409087,2.2860865156409087,2.2860865156409087,2.2860865156409087,0.0,0.0
"[4, 4, 5, 12]","[4,4,5,12]",0.1639,0.0976,True,False,pares,0,23,1,0.0,1.0,2.2828052276180584,2.251021443834275,2.251021443834275,2.2192376600504913,0.0635675675675671,0.03178378378378355
"[5, 7, 7, 10]","[5,7,7,10]",0.0246,0.0108,True,False,pares,0,29,1,0.0,1.0,2.2808588894671114,2.2482720168802386,2.2482720168802386,2.2156851442933663,0.06517374517374508,0.03258687258687276
"[4, 6, 6, 11]","[4,6,6,11]",0.0499,0.0645,True,False,pares,0,26,1,0.0,1.0,2.2755058991571167,2.243193157844375,2.243193157844375,2.210880416531634,0.06462548262548262,0.03231274131274153
"[6, 7, 7, 10]","[6,7,7,10]",0.0203,0.0037,True,False,pares,0,30,1,0.0,1.0,2.266444445676316,2.2337069939388643,2.2337069939388643,2.2009695422014124,0.06547490347490381,0.032737451737451906
"[6, 6, 7, 11]","[6,6,7,11]",0.0671,0.0044,True,False,pares,0,29,1,0.0,1.0,2.250541902795068,2.21824074449391,2.21824074449391,2.1859395861927515,0.06460231660231663,0.03230115830115832
"[5, 6, 7, 7]","[5,6,7,7]",0.0046,0.0197,True,False,pares,0,25,1,0.0,1.0,2.2486959131102404,2.216178538592866,2.216178538592866,2.1836611640754913,0.06503474903474915,0.03251737451737435
"[4, 6, 6, 10]","[4,6,6,10]",0.0151,0.0664,True,False,pares,0,26,1,0.0,1.0,2.2452747574544225,2.212815297994963,2.212815297994963,2.1803558385355037,0.06491891891891877,0.032459459459459605
"[5, 6, 6, 11]","[5,6,6,11]",0.0522,0.0234,True,False,pares,0,27,1,0.0,1.0,2.242052578177834,2.209581535706792,2.209581535706792,2.177110493235749,0.0649420849420852,0.03247104247104238
"[4, 5, 6, 6]","[4,5,6,6]",0.0009,0.0919,True,False,pares,0,21,1,0.0,1.0,2.232774274500974,2.2004885602152595,2.2004885602152595,2.168202845929545,0.06457142857142895,0.03228571428571447
"[4, 5, 5, 11]","[4,5,5,11]",0.0437,0.0911,True,False,pares,0,24,1,0.0,1.0,2.22577340141189,2.1935108531493417,2.1935108531493417,2.1612483048867936,0.06452509652509653,0.032262548262548485
"[4, 4, 10, 11]","[4,4,10,11]",0.0778,0.0994,True,False,pares,0,28,1,0.0,1.0,2.21622517894477,2.1838583835779746,2.1838583835779746,2.1514915882111794,0.06473359073359042,0.03236679536679521
"[5, 5, 10, 11]","[5,5,10,11]",0.0826,0.0222,True,False,pares,0,30,1,0.0,1.0,2.215105667737083,2.1824801851116007,2.1824801851116007,2.1498547024861177,0.06525096525096519,0.03262548262548215
