mano,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones
"[1, 4, 7, 12]",0.07717865957850768,0.11698626669198152,0.30767040060755646,0.3393456110372761,31602
"[1, 4, 7, 7]",0.0,0.8162416350153735,0.4756737203834328,0.33260987520347257,5529
"[1, 5, 10, 10]",0.0008112932013629726,0.6060360214181405,0.5232841148791173,0.391367840337498,6163
"[1, 5, 10, 11]",0.009700017962996228,0.3690796958265972,0.3117178612059158,0.3805760134123705,16701
"[1, 5, 10, 12]",0.14496357118075634,0.058315022551173816,0.30952931652596277,0.38149069041285993,34588
"[1, 5, 11, 11]",0.01407311549660304,0.2898738272403753,0.5724684568100938,0.37851827887415074,6182
"[1, 5, 11, 12]",0.29722523367224357,0.012804359928506549,0.30425737642474143,0.3785636848428023,34129
"[1, 5, 12, 12]",0.6548810167658193,6.760411032990806e-05,0.758754732287723,0.38318009734991887,29584
"[1, 5, 5, 10]",0.00016857720836142953,0.7297707349966285,0.4383007417397168,0.32501685772083616,5932
"[1, 5, 5, 11]",0.0033904051534158334,0.4878793015765384,0.4356670622139346,0.33192066451941005,5899
"[1, 5, 5, 12]",0.04068241469816273,0.1843011811023622,0.4556266404199475,0.3274278215223097,12192
"[1, 5, 5, 5]",0.0,0.977482088024565,0.849539406345957,0.34083930399181167,977
"[1, 5, 5, 6]",0.0,0.9429418303075213,0.44442386068914413,0.3225268618006669,5398
"[1, 5, 5, 7]",0.0,0.8701948864652244,0.446093330949401,0.3382799928482031,5593
"[1, 5, 6, 10]",0.00012824623276691248,0.7018916319333119,0.30509778775248475,0.3346585444052581,15595
"[1, 5, 6, 11]",0.0042027843446283165,0.4702521670606777,0.30811662726556344,0.33556606251641713,15228
"[1, 5, 6, 12]",0.053613641378006116,0.15160588772969394,0.30790809090049487,0.3388596463579916,31727
"[1, 5, 6, 6]",0.0,0.9289841565703635,0.45908667287977634,0.33662628145386764,5365
"[1, 5, 6, 7]",0.0,0.8340929188490579,0.309910890415618,0.3413373239915652,14701
"[1, 5, 7, 10]",0.000957915575707261,0.6509994252506546,0.3099814802988697,0.34242288779615554,15659
"[1, 5, 7, 11]",0.005610540250898317,0.4202231608144739,0.31097522536720673,0.34810565466809557,15863
"[1, 5, 7, 12]",0.08133012820512821,0.1086353550295858,0.30605892504930965,0.3389423076923077,32448
"[1, 5, 7, 7]",0.00017546938059308652,0.8082119670117565,0.47885593963853307,0.32339006843305845,5699
"[1, 6, 10, 10]",0.0021779713752333543,0.583696328562539,0.5140012445550716,0.4161481020535159,6428
"[1, 6, 10, 11]",0.01143575962033278,0.3525644690948596,0.3119675224426783,0.41300245868831836,17489
"[1, 6, 10, 12]",0.15957840763424014,0.04831220623842757,0.3048568579974363,0.4137587238285145,35105
