mano,mano_legible,posicion,posicion_nombre,rank,mascara_idx,accion,reward_promedio,n_visitas,confianza,prob_seleccion_pct
"[1, 1, 1, 1]",As-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [As]",0.9915819010873378,5702,ALTA,22.621315517111853
"[1, 1, 1, 1]",As-As-As-As,3,MANO (J3),2,2,"Mantener [As,As,As] / Descartar [As]",0.9887758681164504,5702,ALTA,22.49471876965404
"[1, 1, 1, 1]",As-As-As-As,3,MANO (J3),3,1,"Mantener [As,As,As] / Descartar [As]",0.9700105226236408,5702,ALTA,21.666122582269807
"[1, 1, 1, 1]",As-As-As-As,4,POSTRE (J4),1,2,"Mantener [As,As,As] / Descartar [As]",0.7454078609520047,5063,ALTA,26.211737179974165
"[1, 1, 1, 1]",As-As-As-As,4,POSTRE (J4),2,1,"Mantener [As,As,As] / Descartar [As]",0.6910922378036737,5063,ALTA,23.51353112795405
"[1, 1, 1, 1]",As-As-As-As,4,POSTRE (J4),3,0,"Mantener [As,As,As] / Descartar [As]",0.6310487853051551,5063,ALTA,20.852819003846218
"[1, 1, 1, 4]",4-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [4]",0.7974433589690293,28866,ALTA,69.46113448348318
"[1, 1, 1, 4]",4-As-As-As,1,MANO (J1),2,14,"Mantener [Nada] / Descartar [4,As,As,As]",-0.5439617543130326,28866,ALTA,4.749109626967727
"[1, 1, 1, 4]",4-As-As-As,1,MANO (J1),3,6,"Mantener [As,As] / Descartar [4,As]",-0.6545070324949768,28866,ALTA,3.8070956321189247
"[1, 1, 1, 4]",4-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [4]",0.5573303105248695,29112,ALTA,73.71088745933
"[1, 1, 1, 4]",4-As-As-As,2,POSTRE (J2),2,6,"Mantener [As,As] / Descartar [4,As]",-0.926284693597142,29112,ALTA,3.792102090997016
"[1, 1, 1, 4]",4-As-As-As,2,POSTRE (J2),3,5,"Mantener [As,As] / Descartar [4,As]",-0.9484061555372356,29112,ALTA,3.6279856717087404
"[1, 1, 1, 4]",4-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [4]",1.0703573931324455,28540,ALTA,64.6494304230805
"[1, 1, 1, 4]",4-As-As-As,3,MANO (J3),2,6,"Mantener [As,As] / Descartar [4,As]",-0.2274702172389628,28540,ALTA,4.8226524342909975
"[1, 1, 1, 4]",4-As-As-As,3,MANO (J3),3,5,"Mantener [As,As] / Descartar [4,As]",-0.2709530483531885,28540,ALTA,4.42096683025675
"[1, 1, 1, 4]",4-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [4]",0.7783552538537689,28284,ALTA,71.92940217053456
"[1, 1, 1, 4]",4-As-As-As,4,POSTRE (J4),2,4,"Mantener [As,As] / Descartar [4,As]",-0.6794654221467967,28284,ALTA,3.89636380518963
"[1, 1, 1, 4]",4-As-As-As,4,POSTRE (J4),3,5,"Mantener [As,As] / Descartar [4,As]",-0.6806675152029416,28284,ALTA,3.887007473129285
"[1, 1, 1, 5]",5-As-As-As,1,MANO (J1),1,0,"Mantener [As,As,As] / Descartar [5]",0.8112947183220064,28987,ALTA,68.37472623013045
"[1, 1, 1, 5]",5-As-As-As,1,MANO (J1),2,14,"Mantener [Nada] / Descartar [5,As,As,As]",-0.5198192293096906,28987,ALTA,4.772047039210949
"[1, 1, 1, 5]",5-As-As-As,1,MANO (J1),3,5,"Mantener [As,As] / Descartar [5,As]",-0.6185186462897161,28987,ALTA,3.917197707260684
"[1, 1, 1, 5]",5-As-As-As,2,POSTRE (J2),1,0,"Mantener [As,As,As] / Descartar [5]",0.6097307772164163,28898,ALTA,75.57945325439107
"[1, 1, 1, 5]",5-As-As-As,2,POSTRE (J2),2,4,"Mantener [As,As] / Descartar [5,As]",-0.9064987196345768,28898,ALTA,3.6427011120105997
"[1, 1, 1, 5]",5-As-As-As,2,POSTRE (J2),3,6,"Mantener [As,As] / Descartar [5,As]",-0.9676448197107066,28898,ALTA,3.223388933880242
"[1, 1, 1, 5]",5-As-As-As,3,MANO (J3),1,0,"Mantener [As,As,As] / Descartar [5]",1.0758283772302464,28248,ALTA,63.10478864359995
"[1, 1, 1, 5]",5-As-As-As,3,MANO (J3),2,5,"Mantener [As,As] / Descartar [5,As]",-0.2119442084395355,28248,ALTA,4.803051692091978
"[1, 1, 1, 5]",5-As-As-As,3,MANO (J3),3,6,"Mantener [As,As] / Descartar [5,As]",-0.2454333050127442,28248,ALTA,4.491888847111275
"[1, 1, 1, 5]",5-As-As-As,4,POSTRE (J4),1,0,"Mantener [As,As,As] / Descartar [5]",0.8007902650535003,28598,ALTA,72.57929459155707
"[1, 1, 1, 5]",5-As-As-As,4,POSTRE (J4),2,5,"Mantener [As,As] / Descartar [5,As]",-0.6429470592349116,28598,ALTA,4.043881645803927
"[1, 1, 1, 5]",5-As-As-As,4,POSTRE (J4),3,6,"Mantener [As,As] / Descartar [5,As]",-0.6662354010769984,28598,ALTA,3.8598501073482074
