mano,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada
"[4, 5, 5, 7]",0.0133,0.0241,0.5748,0.1307,0.648,0.2815
"[4, 5, 5, 10]",0.0503,0.019,0.5713,0.3278,0.6557,0.2528
"[4, 5, 5, 11]",0.1691,0.0199,0.5771,0.3232,0.6506,0.2437
"[4, 5, 5, 3]",0.0003,0.0938,0.5346,0.0161,0.6512,0.3073
"[4, 5, 5, 12]",0.5065,0.0198,0.5671,0.3256,0.6586,0.2459
"[4, 5, 6, 6]",0.0032,0.0198,0.5955,0.1274,0.6605,0.2929
"[4, 5, 6, 7]",0.0187,0.018,0.351,0.1794,0.649,0.2722
"[4, 5, 6, 10]",0.0688,0.0203,0.3513,0.4142,0.6487,0.2348
"[4, 5, 6, 11]",0.1951,0.0188,0.3457,0.4016,0.6543,0.2456
"[4, 5, 6, 3]",0.0029,0.0868,0.3537,0.035,0.6463,0.2966
"[4, 5, 6, 12]",0.5687,0.0142,0.3608,0.4168,0.6392,0.2335
"[4, 5, 7, 7]",0.0236,0.019,0.6746,0.2378,0.6573,0.27
"[4, 5, 7, 10]",0.0864,0.0166,0.3493,0.4805,0.6507,0.2402
"[4, 5, 7, 11]",0.2305,0.0175,0.3578,0.4945,0.6422,0.2308
"[4, 5, 7, 3]",0.0115,0.0901,0.3541,0.056,0.6459,0.2859
"[4, 5, 7, 12]",0.6203,0.016,0.3493,0.4949,0.6507,0.2314
"[4, 5, 10, 10]",0.1017,0.0167,0.7651,0.7495,0.6537,0.2001
"[4, 5, 10, 11]",0.2869,0.0171,0.3463,0.7424,0.6537,0.2093
"[4, 5, 10, 3]",0.0522,0.0861,0.3541,0.1837,0.6459,0.2594
"[4, 5, 10, 12]",0.7086,0.016,0.3481,0.743,0.6519,0.2061
"[4, 5, 11, 11]",0.3453,0.0156,0.8444,0.742,0.6571,0.2067
"[4, 5, 11, 3]",0.1645,0.0823,0.3462,0.1806,0.6538,0.2602
"[4, 5, 11, 12]",0.8481,0.0137,0.3611,0.752,0.6389,0.2007
"[4, 5, 3, 3]",0.0001,0.1016,0.4664,0.004,0.6568,0.3165
"[4, 5, 3, 12]",0.5123,0.088,0.3482,0.1822,0.6518,0.2638
"[4, 5, 12, 12]",0.9849,0.013,0.9361,0.7428,0.6579,0.2068
"[4, 6, 6, 6]",0.0044,0.0141,0.9408,0.1773,0.6695,0.2734
"[4, 6, 6, 7]",0.0221,0.013,0.6441,0.2512,0.6581,0.2676
"[4, 6, 6, 10]",0.0664,0.0121,0.6456,0.495,0.659,0.2382
"[4, 6, 6, 11]",0.2027,0.0149,0.647,0.4918,0.6548,0.2324
"[4, 6, 6, 3]",0.0035,0.0806,0.6085,0.0542,0.6571,0.2897
"[4, 6, 6, 12]",0.5602,0.0152,0.6368,0.4943,0.6561,0.2377
"[4, 6, 7, 7]",0.0269,0.0147,0.6818,0.3199,0.6595,0.2583
"[4, 6, 7, 10]",0.0926,0.0142,0.3499,0.582,0.6501,0.2294
"[4, 6, 7, 11]",0.2476,0.0122,0.3501,0.5745,0.6499,0.2312
"[4, 6, 7, 3]",0.0167,0.0817,0.35,0.0918,0.65,0.2836
"[4, 6, 7, 12]",0.6384,0.009,0.3502,0.5803,0.6498,0.2283
"[4, 6, 10, 10]",0.0993,0.0123,0.7575,0.7969,0.6497,0.2031
"[4, 6, 10, 11]",0.3103,0.0102,0.3479,0.8012,0.6521,0.1988
"[4, 6, 10, 3]",0.0558,0.0801,0.3589,0.2491,0.6411,0.2475
"[4, 6, 10, 12]",0.7251,0.0125,0.3589,0.7975,0.6411,0.2025
"[4, 6, 11, 11]",0.3404,0.0109,0.8483,0.7971,0.6569,0.2029
"[4, 6, 11, 3]",0.1945,0.083,0.3436,0.2475,0.6564,0.2526
"[4, 6, 11, 12]",0.8735,0.0082,0.3464,0.7949,0.6536,0.2051
"[4, 6, 3, 3]",0.0017,0.1008,0.4669,0.0106,0.6566,0.3093
"[4, 6, 3, 12]",0.5466,0.0768,0.3492,0.2515,0.6508,0.256
"[4, 6, 12, 12]",0.989,0.0103,0.928,0.7976,0.647,0.2024
"[4, 7, 7, 7]",0.0249,0.0085,0.9488,0.3994,0.6792,0.2584
"[4, 7, 7, 10]",0.0937,0.0094,0.7215,0.6692,0.6542,0.2286
"[4, 7, 7, 11]",0.2489,0.0086,0.7133,0.6541,0.6593,0.231
"[4, 7, 7, 3]",0.0221,0.0829,0.6801,0.1264,0.6517,0.2787
"[4, 7, 7, 12]",0.6486,0.0089,0.7146,0.6646,0.6541,0.2272
"[4, 7, 10, 10]",0.0969,0.0095,0.7571,1.0,0.6557,0.2024
"[4, 7, 10, 11]",0.3148,0.0095,0.3397,1.0,0.6603,0.2008
"[4, 7, 10, 3]",0.0749,0.0831,0.3544,0.3274,0.6456,0.2497
"[4, 7, 10, 12]",0.761,0.0074,0.3494,1.0,0.6506,0.1972
"[4, 7, 11, 11]",0.3527,0.0087,0.8438,1.0,0.6575,0.1952
"[4, 7, 11, 3]",0.2199,0.0801,0.355,0.3277,0.645,0.2476
"[4, 7, 11, 12]",0.894,0.0069,0.3546,1.0,0.6454,0.2003
"[4, 7, 3, 3]",0.0082,0.1026,0.4625,0.0177,0.6653,0.3071
"[4, 7, 3, 12]",0.5961,0.0776,0.3486,0.3228,0.6514,0.2553
"[4, 7, 12, 12]",0.9916,0.0099,0.9331,1.0,0.6669,0.2007
"[4, 10, 10, 10]",0.1014,0.0068,0.9546,0.8841,0.672,0.162
"[4, 10, 10, 11]",0.3218,0.006,0.7958,0.8813,0.6628,0.1669
"[4, 10, 10, 3]",0.1056,0.0747,0.7613,0.5838,0.6552,0.2151
"[4, 10, 10, 12]",0.7654,0.0089,0.7998,0.8766,0.6508,0.1662
