            mano  probabilidad_grande  probabilidad_chica  probabilidad_pares  probabilidad_juego  prob_rival_pares_condicionada  prob_rival_juego_condicionada
  [1, 4, 10, 11]               0.0754              0.5326              0.1786              0.2069                         0.8214                         0.4740
  [1, 4, 11, 11]               0.0997              0.5146              0.5530              0.2074                         0.8215                         0.4716
    [1, 5, 5, 5]               0.0000              0.4381              0.8481              0.0028                         0.8365                         0.5658
    [1, 5, 5, 6]               0.0004              0.4321              0.3570              0.0052                         0.8239                         0.5624
    [1, 5, 5, 7]               0.0023              0.4382              0.3566              0.0116                         0.8222                         0.5469
   [1, 5, 5, 10]               0.0086              0.4360              0.3599              0.0399                         0.8118                         0.5077
   [1, 5, 5, 11]               0.0419              0.4319              0.3435              0.0401                         0.8263                         0.5172
    [1, 5, 6, 6]               0.0003              0.4252              0.3790              0.0072                         0.8259                         0.5488
    [1, 5, 6, 7]               0.0042              0.4243              0.1810              0.0210                         0.8190                         0.5475
   [1, 5, 6, 10]               0.0117              0.4126              0.1907              0.0872                         0.8093                         0.5072
   [1, 5, 6, 11]               0.0474              0.4097              0.1845              0.0829                         0.8155                         0.5059
    [1, 5, 7, 7]               0.0038              0.3863              0.4326              0.0249                         0.8235                         0.5384
   [1, 5, 7, 10]               0.0161              0.3798              0.1780              0.1134                         0.8220                         0.4938
   [1, 5, 7, 11]               0.0599              0.3883              0.1818              0.1095                         0.8182                         0.4889
  [1, 5, 10, 10]               0.0231              0.3674              0.4995              0.2689                         0.8201                         0.4589
  [1, 5, 10, 11]               0.0763              0.3535              0.1808              0.2753                         0.8192                         0.4656
  [1, 5, 11, 11]               0.0960              0.3414              0.5491              0.2735                         0.8315                         0.4599
    [1, 6, 6, 6]               0.0001              0.2933              0.8544              0.0176                         0.8342                         0.5504
    [1, 6, 6, 7]               0.0037              0.2942              0.4003              0.0290                         0.8246                         0.5233
   [1, 6, 6, 10]               0.0121              0.2910              0.3951              0.1126                         0.8298                         0.5089
   [1, 6, 6, 11]               0.0521              0.2959              0.4087              0.1116                         0.8211                         0.5053
    [1, 6, 7, 7]               0.0038              0.2826              0.4296              0.0449                         0.8266                         0.5128
   [1, 6, 7, 10]               0.0191              0.2800              0.1771              0.1385                         0.8229                         0.4886
   [1, 6, 7, 11]               0.0605              0.2792              0.1835              0.1348                         0.8165                         0.4902
  [1, 6, 10, 10]               0.0228              0.2615              0.4927              0.3601                         0.8222                         0.4562
  [1, 6, 10, 11]               0.0808              0.2683              0.1835              0.3409                         0.8165                         0.4597
  [1, 6, 11, 11]               0.1014              0.2495              0.5520              0.3502                         0.8231                         0.4577
    [1, 7, 7, 7]               0.0032              0.2122              0.8524              0.0858                         0.8395                         0.5185
   [1, 7, 7, 10]               0.0201              0.2131              0.4704              0.2100                         0.8247                         0.4792
   [1, 7, 7, 11]               0.0650              0.2163              0.4620              0.2098                         0.8214                         0.4814
  [1, 7, 10, 10]               0.0240              0.2118              0.4873              0.4490                         0.8267                         0.4507
  [1, 7, 10, 11]               0.0909              0.2017              0.1727              0.4509                         0.8273                         0.4488
  [1, 7, 11, 11]               0.1060              0.1905              0.5539              0.4542                         0.8235                         0.4437
 [1, 10, 10, 10]               0.0242              0.1633              0.8640              1.0000                         0.8324                         0.4093
 [1, 10, 10, 11]               0.0938              0.1715              0.5154              1.0000                         0.8254                         0.4122
