mano_f1,probabilidad_grande,probabilidad_chica,probabilidad_pares,probabilidad_juego,prob_rival_pares_condicionada,prob_rival_juego_condicionada,mano_norm,mano_f2,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones,mejora_pares,mejora_juego,mejora_grande,mejora_chica
"[1, 4, 4, 5]",0.0,0.6976,0.303,0.0013,0.8241,0.5875,"[1, 4, 4, 5]","[1, 4, 4, 5]",0.0,0.9891304347826086,0.4818840579710144,0.391304347826087,276,0.17888405797101442,0.39000434782608695,0.0,0.29153043478260865
"[1, 4, 4, 6]",0.0001,0.6956,0.3018,0.001,0.8219,0.5841,"[1, 4, 4, 6]","[1, 4, 4, 6]",0.0,0.9501779359430604,0.4056939501779359,0.3131672597864768,281,0.1038939501779359,0.3121672597864768,-0.0001,0.25457793594306044
"[1, 4, 4, 7]",0.0013,0.6845,0.3084,0.0027,0.8231,0.5656,"[1, 4, 4, 7]","[1, 4, 4, 7]",0.0,0.9125874125874126,0.493006993006993,0.3601398601398601,286,0.18460699300699301,0.3574398601398601,-0.0013,0.2280874125874126
"[1, 4, 4, 10]",0.0066,0.687,0.3119,0.0224,0.8169,0.5354,"[1, 4, 4, 10]","[1, 4, 4, 10]",0.0,0.7672131147540984,0.4295081967213114,0.3377049180327869,305,0.1176081967213114,0.31530491803278693,-0.0066,0.08021311475409831
"[1, 4, 4, 11]",0.037,0.6866,0.3025,0.019,0.8256,0.526,"[1, 4, 4, 11]","[1, 4, 4, 11]",0.0039525691699604,0.4624505928853755,0.4229249011857707,0.300395256916996,253,0.1204249011857707,0.28139525691699596,-0.033047430830039595,-0.2241494071146245
"[1, 4, 5, 5]",0.0,0.6696,0.3303,0.0009,0.8276,0.5734,"[1, 4, 5, 5]","[1, 4, 5, 5]",0.0,0.9803149606299212,0.452755905511811,0.3228346456692913,254,0.12245590551181101,0.3219346456692913,0.0,0.3107149606299212
"[1, 4, 5, 6]",0.0005,0.6675,0.1846,0.0027,0.8154,0.5635,"[1, 4, 5, 6]","[1, 4, 5, 6]",0.0,0.9277456647398844,0.3078034682080925,0.3540462427745665,692,0.12320346820809253,0.3513462427745665,-0.0005,0.2602456647398844
"[1, 4, 5, 7]",0.0012,0.6598,0.1828,0.0055,0.8172,0.5579,"[1, 4, 5, 7]","[1, 4, 5, 7]",0.0,0.8658854166666666,0.28515625,0.359375,768,0.10235625000000001,0.353875,-0.0012,0.20608541666666658
"[1, 4, 5, 10]",0.0081,0.6563,0.1815,0.0227,0.8185,0.5341,"[1, 4, 5, 10]","[1, 4, 5, 10]",0.0,0.712258064516129,0.3251612903225806,0.3483870967741935,775,0.14366129032258063,0.3256870967741935,-0.0081,0.05595806451612906
"[1, 4, 5, 11]",0.0405,0.6465,0.1827,0.0253,0.8173,0.5281,"[1, 4, 5, 11]","[1, 4, 5, 11]",0.0075187969924812,0.4962406015037593,0.2982456140350877,0.3446115288220551,798,0.1155456140350877,0.3193115288220551,-0.0329812030075188,-0.15025939849624065
"[1, 4, 6, 6]",0.0004,0.6101,0.377,0.0057,0.824,0.5625,"[1, 4, 6, 6]","[1, 4, 6, 6]",0.0,0.9210526315789472,0.4511278195488721,0.3308270676691729,266,0.0741278195488721,0.32512706766917293,-0.0004,0.31095263157894726
"[1, 4, 6, 7]",0.0028,0.6025,0.1739,0.0117,0.8261,0.5457,"[1, 4, 6, 7]","[1, 4, 6, 7]",0.0,0.847887323943662,0.2845070422535211,0.3154929577464789,710,0.11060704225352108,0.3037929577464789,-0.0028,0.24538732394366192
"[1, 4, 6, 10]",0.0093,0.6103,0.1754,0.0384,0.8246,0.5252,"[1, 4, 6, 10]","[1, 4, 6, 10]",0.0013642564802182,0.7053206002728513,0.2905866302864938,0.3410641200545702,733,0.11518663028649379,0.3026641200545702,-0.0079357435197818,0.09502060027285131
"[1, 4, 6, 11]",0.0467,0.6008,0.1776,0.0378,0.8224,0.5222,"[1, 4, 6, 11]","[1, 4, 6, 11]",0.0051282051282051,0.4705128205128205,0.3115384615384615,0.3474358974358974,780,0.13393846153846148,0.3096358974358974,-0.041571794871794895,-0.1302871794871795
"[1, 4, 7, 7]",0.0038,0.5697,0.4358,0.018,0.8273,0.5395,"[1, 4, 7, 7]","[1, 4, 7, 7]",0.0,0.7508771929824561,0.4736842105263157,0.312280701754386,285,0.03788421052631569,0.294280701754386,-0.0038,0.18117719298245616
"[1, 4, 7, 10]",0.0168,0.5704,0.1841,0.0834,0.8159,0.5134,"[1, 4, 7, 10]","[1, 4, 7, 10]",0.0,0.6614457831325301,0.2987951807228916,0.3578313253012048,830,0.11469518072289156,0.27443132530120484,-0.0168,0.09104578313253009
"[1, 4, 7, 11]",0.0532,0.5605,0.1818,0.0791,0.8182,0.5104,"[1, 4, 7, 11]","[1, 4, 7, 11]",0.0026490066225165,0.4092715231788079,0.2980132450331126,0.3456953642384106,755,0.11621324503311262,0.26659536423841057,-0.0505509933774835,-0.15122847682119211
"[1, 4, 10, 10]",0.0244,0.5381,0.4843,0.2023,0.8261,0.4762,"[1, 4, 10, 10]","[1, 4, 10, 10]",0.0031446540880503,0.6069182389937107,0.5723270440251572,0.4056603773584906,318,0.08802704402515721,0.20336037735849058,-0.0212553459119497,0.06881823899371065
"[1, 4, 10, 11]",0.0754,0.5326,0.1786,0.2069,0.8214,0.474,"[1, 4, 10, 11]","[1, 4, 10, 11]",0.0085261875761266,0.3788063337393422,0.315468940316687,0.3605359317904993,821,0.13686894031668698,0.1536359317904993,-0.0668738124238734,-0.15379366626065777
"[1, 4, 11, 11]",0.0997,0.5146,0.553,0.2074,0.8215,0.4716,"[1, 4, 11, 11]","[1, 4, 11, 11]",0.019047619047619,0.3206349206349206,0.5619047619047619,0.3396825396825397,315,0.00890476190476186,0.1322825396825397,-0.080652380952381,-0.19396507936507934
"[1, 5, 5, 5]",0.0,0.4381,0.8481,0.0028,0.8365,0.5658,"[1, 5, 5, 5]","[1, 5, 5, 5]",0.0,1.0,0.9523809523809524,0.3809523809523809,42,0.10428095238095247,0.37815238095238085,0.0,0.5619000000000001
"[1, 5, 5, 6]",0.0004,0.4321,0.357,0.0052,0.8239,0.5624,"[1, 5, 5, 6]","[1, 5, 5, 6]",0.0,0.9205776173285198,0.4440433212996389,0.3537906137184115,277,0.08704332129963893,0.3485906137184115,-0.0004,0.48847761732851985
"[1, 5, 5, 7]",0.0023,0.4382,0.3566,0.0116,0.8222,0.5469,"[1, 5, 5, 7]","[1, 5, 5, 7]",0.0,0.8700787401574803,0.4291338582677165,0.3346456692913386,254,0.07253385826771652,0.3230456692913386,-0.0023,0.43187874015748035
"[1, 5, 5, 10]",0.0086,0.436,0.3599,0.0399,0.8118,0.5077,"[1, 5, 5, 10]","[1, 5, 5, 10]",0.0030487804878048,0.7713414634146342,0.4664634146341463,0.3292682926829268,328,0.10656341463414631,0.2893682926829268,-0.0055512195121952,0.33534146341463417
